date,actual_energy_mwh,pred_energy_mwh,mae,error_mwh,error_pct
2025-04-02,164.33408,158.17993829999998,0.24571660625000122,-6.154141700000025,-3.7448967980348478
2025-04-03,193.39008,209.15304129999998,0.5182395687499993,15.762961299999972,8.150863425879947
2025-04-04,246.1,235.2084599,0.8396886395833335,-10.891540099999986,-4.4256562779357935
2025-04-05,240.18944,237.50389579999995,0.4136165124999997,-2.685544200000038,-1.1180942009773778
2025-04-06,195.97568,206.88238179999993,0.35591955833333216,10.906701799999922,5.5653343312802495
2025-04-07,201.87648,247.4173845999999,0.9882529333333315,45.54090459999992,22.558796646345293
2025-04-08,171.25,179.88870519999998,0.23457156666666626,8.638705199999976,5.0444993868612995
2025-04-10,218.34496,225.07701579999994,0.4259285250000004,6.732055799999955,3.0832201485209256
2025-04-11,185.3,194.79762289999996,0.38760243541666656,9.497622899999953,5.125538532110066
2025-04-12,236.63616000000002,243.16902119999995,0.33497990833333313,6.532861199999928,2.7607197479877668
2025-04-13,151.89248,142.43818349999998,0.9775352770833337,-9.454296500000027,-6.224334805778421
2025-04-14,185.41056,191.14980149999997,0.7827552145833332,5.739241499999963,3.0954232056685247
2025-04-15,169.3,186.6879175,0.7770556312499997,17.387917499999986,10.270476963969276
2025-04-16,209.91488,202.4226191,0.31954844791666703,-7.492260900000019,-3.569189997393238
2025-04-17,234.59072,231.56783579999995,0.3672659333333336,-3.0228842000000498,-1.2885779113513314
2025-04-18,256.8576,238.9211975,0.4998415145833331,-17.936402499999986,-6.983014129229575
2025-04-19,179.2,195.60658029999996,0.4013256687499999,16.406580299999973,9.155457756696414
2025-04-20,238.20288,245.33187139999998,0.5055150291666676,7.12899139999999,2.9928233445372237
2025-04-21,210.78784000000002,208.78356010000002,0.6400184187499999,-2.0042799000000002,-0.9508517664017052
2025-04-22,205.05,213.47771409999996,0.21731404374999955,8.427714099999946,4.1100775908314775
2025-04-23,187.56864,194.38179979999998,0.3584158499999996,6.813159799999994,3.632355493967432
2025-04-24,245.17888,240.45985640000004,0.2937428333333328,-4.719023599999957,-1.924726795391168
2025-04-25,213.1,213.4090003,0.8621602979166664,0.3090003000000081,0.14500248709526425
2025-04-26,180.68224,191.8217786,0.42674144166666644,11.13953859999998,6.1652648317842305
2025-04-27,229.99296,238.1116072,0.4099423375,8.118647199999998,3.5299546560033828
2025-04-28,229.85984,213.34090210000002,0.965916685416666,-16.51893789999997,-7.1865263196911515
2025-04-29,213.65,213.3813941,0.27726186458333296,-0.2686059000000114,-0.12572239644278557
2025-04-30,176.85504,223.52576970000007,0.9896073604166684,46.67072970000007,26.3892562518999
