anomaly_flag,count,first_datetime,last_datetime,avg_irradiance_wm2,avg_loss_percent,avg_pr_proxy
low_irradiance_not_evaluated,1697,2025-03-01 00:00:00,2025-04-30 23:30:00,6.467236299351797,24.33477904863191,0.756652209513681
none,1084,2025-03-01 07:00:00,2025-04-30 16:30:00,581.1770848708487,11.624521535110619,0.8837547846488938
curtailment_recorded,26,2025-03-22 10:30:00,2025-04-07 13:30:00,948.0461538461539,28.440674788052725,0.7155932521194728
baseline_underestimation,25,2025-03-04 13:30:00,2025-04-28 09:30:00,502.80400000000003,-25.4331027346364,1.2543310273463641
suspected_unrecorded_constraint,25,2025-03-09 09:00:00,2025-04-30 11:30:00,671.556,51.77368214670066,0.48226317853299344
edge_irradiance_unstable,23,2025-03-04 15:30:00,2025-04-30 06:00:00,191.9695652173913,12.438348745620795,0.875616512543792
