Subset,MAE,RMSE,R2,Model
All,59.604169662113584,116.83462171955206,0.8791832870204166,Persistence
Daytime,123.41131498470948,169.82824533647894,0.7093980777207474,Persistence
All,127.06405752515144,165.49426201894576,0.7575904175247882,LinearRegression
Daytime,167.91911489208084,213.7943782130492,0.5394559243585497,LinearRegression
All,59.054408914450065,118.10266358676436,0.8765465340648865,RandomForest
Daytime,121.57037889908263,171.45857494575318,0.7037918133845034,RandomForest
All,58.226952584554894,111.9732396321054,0.8890282616331643,GradientBoosting
Daytime,116.50960775005495,161.56830611441362,0.7369786627646218,GradientBoosting
