period,pv_energy
2025-03-01,253.60220341593748
2025-03-02,264.5452591848125
2025-03-03,265.1389266179375
2025-03-04,250.177595575125
2025-03-05,226.89470780112498
2025-03-06,249.53889790449998
2025-03-07,228.0997088115625
2025-03-08,228.05366660081245
2025-03-09,199.80162856012498
2025-03-10,238.5018532811875
2025-03-11,225.1691673080625
2025-03-12,210.82010711137497
2025-03-13,260.4364042953125
2025-03-14,264.5452591848125
2025-03-15,269.45046554406247
2025-03-16,203.151623003125
2025-03-17,238.6609336620625
2025-03-18,258.0806272721875
2025-03-19,214.12228078687497
2025-03-20,224.03623913537496
2025-03-21,248.27852044168748
2025-03-22,269.8766357685
2025-03-23,263.7622629551875
2025-03-24,255.0705601085
2025-03-25,228.4551041060625
2025-03-26,263.90838226281244
2025-03-27,263.214946275
2025-03-28,250.86789873725
2025-03-29,202.28572382293748
2025-03-30,143.0158344865
2025-03-31,98.86136139418748
2025-04-01,0.0
2025-04-02,179.84610420681247
2025-04-03,245.465727458875
2025-04-04,266.00539520793757
2025-04-05,281.10152121400006
2025-04-06,234.27445052675
2025-04-07,284.830375094125
2025-04-08,202.28572382293748
2025-04-09,247.63554943356252
2025-04-10,252.34691411274997
2025-04-11,212.81481985393748
2025-04-12,272.98161838337495
2025-04-13,158.98962019537498
2025-04-14,211.51245849725
2025-04-15,208.9379530858125
2025-04-16,230.9258209345
2025-04-17,267.1683589190625
2025-04-18,265.1389266179375
2025-04-19,211.95325053031246
2025-04-20,272.8037037976875
2025-04-21,233.931344168625
2025-04-22,235.62638316249996
2025-04-23,217.82993015874996
2025-04-24,274.45533976156247
2025-04-25,270.5067233860625
2025-04-26,209.44451882249996
2025-04-27,268.0814699725625
2025-04-28,234.42006890174997
2025-04-29,236.42600193043748
2025-04-30,242.14203295564374
