scenario,target_power_mw,target_duration_h,target_energy_mwh,unit_energy_kwh,unit_power_kw,pcs_max_efficiency_percent,units_by_power,units_by_energy,required_units,limiting_requirement,installed_power_mw,installed_energy_mwh,duration_at_installed_power_h,duration_at_target_power_h,power_margin_kw,energy_margin_kwh,power_margin_percent,energy_margin_percent,offgrid_parallel_warning,max_parallel_quantity_offgrid,design_note,source
4MW-2h,4.0,2.0,8.0,229.0,110.0,98.6,37,35,37,power,4.07,8.473,2.081818181818182,2.11825,70.0,473.0,1.7500000000000002,5.9125,True,10,Sizing satisfies both target power and target energy.,Sungrow ST225kWh-110kW-2h-AU datasheet-based sizing
4MW-4h,4.0,4.0,16.0,229.0,110.0,98.6,37,70,70,energy,7.7,16.03,2.081818181818182,4.0075,3700.0,30.0,92.5,0.1875,True,10,Installed PCS power is significantly higher than target power. Use export/control limit at target power or request a 4h-specific configuration.,Sungrow ST225kWh-110kW-2h-AU datasheet-based sizing
