Subset,MAE,RMSE,R2,Model
All,1.4827532440476188,7.774306021305235,0.5497317006762066,Calculated Baseline
Daytime,3.131253386075949,11.33647915017376,-0.16711686644238655,Calculated Baseline
All,1.1312918321450565,2.6328717588045834,0.9483574688011713,LinearRegression
Daytime,2.2421472909389317,3.826492447422937,0.867028159810694,LinearRegression
All,1.058320007440476,2.49145146391703,0.9537562579010147,RandomForest
Daytime,2.2129145405063286,3.624193633367427,0.8807163982124979,RandomForest
All,1.0452766780398381,2.5378438883681067,0.952018047603679,GradientBoosting
Daytime,2.1692384544035472,3.692851589635364,0.8761540905496485,GradientBoosting
